date,stiffness,rating,ascent_type,grade,color,climb_name,gym,location,country,attempts
Sun May 23 2021 14:15:39 GMT+0000 (GMT),0,,Flash,v1,Green,,,,,1
Tue May 25 2021 14:14:54 GMT+0000 (GMT),0,,Redpoint,v0,Purple,,,,,
Tue May 25 2021 14:17:42 GMT+0000 (GMT),0,,Flash,v1,White,,,,,1
Wed Oct 06 2021 14:30:26 GMT+0000 (GMT),0,,Flash,v0,Black,,,,,1
Wed Oct 06 2021 14:30:31 GMT+0000 (GMT),0,,Flash,v1,Pink,,,,,1
Wed Oct 06 2021 14:30:40 GMT+0000 (GMT),0,,Flash,v2,,,,,,1
Wed Oct 06 2021 14:30:49 GMT+0000 (GMT),0,,Flash,v1,Blue,,,,,1
Wed Oct 06 2021 14:31:08 GMT+0000 (GMT),0,,Flash,v0,Blue,,,,,1
Wed Oct 06 2021 14:31:18 GMT+0000 (GMT),0,,Flash,v1,,,,,,1
Wed Oct 06 2021 14:32:07 GMT+0000 (GMT),0,,Redpoint,v3,Yellow,,,,,3
Wed Oct 06 2021 14:35:58 GMT+0000 (GMT),0,,Redpoint,v4,Black,,,,,2
Fri Oct 08 2021 01:06:36 GMT+0000 (GMT),0,,Flash,v3,Blue,,,,,1
Fri Oct 08 2021 07:27:35 GMT+0000 (GMT),0,,Flash,v1,Orange,,,,,1
Fri Oct 08 2021 07:27:40 GMT+0000 (GMT),0,,Flash,v2,Yellow,,,,,1
Sun Oct 10 2021 07:41:38 GMT+0000 (GMT),0,,Flash,v3,Blue,,,,,1
Sun Oct 10 2021 12:35:54 GMT+0000 (GMT),0,,Redpoint,v3,Pink,,,,,2
Sun Oct 10 2021 12:36:49 GMT+0000 (GMT),0,,Flash,v3,White,,,,,1
Sun Oct 10 2021 12:37:59 GMT+0000 (GMT),0,,Flash,v3,Black,,,,,1
Tue Oct 12 2021 00:44:22 GMT+0000 (GMT),0,,Flash,v2,Blue,,,,,1
Tue Oct 12 2021 00:44:41 GMT+0000 (GMT),0,,Redpoint,v3,Orange,,,,,3
Wed Oct 13 2021 02:05:29 GMT+0000 (GMT),0,,Flash,v3,Purple,,Touchstone Pacific Pipe,,,1
Wed Oct 13 2021 02:06:16 GMT+0000 (GMT),0,,Flash,v3,White,,Touchstone Pacific Pipe,,,1
Wed Oct 13 2021 16:07:52 GMT+0000 (GMT),0,,Repeat,v3,White,,Touchstone Pacific Pipe,,,1
Wed Oct 13 2021 16:08:45 GMT+0000 (GMT),0,,Flash,v2,Blue,,,,,1
Wed Oct 13 2021 20:36:09 GMT+0000 (GMT),0,,Flash,v2,Orange,,,,,1
Wed Oct 13 2021 20:36:22 GMT+0000 (GMT),0,,Flash,v1,,,,,,1
Fri Oct 15 2021 03:25:07 GMT+0000 (GMT),0,,Flash,v1,White,,,,,1
Fri Oct 15 2021 03:25:12 GMT+0000 (GMT),0,,Flash,v1,White,,,,,1
Fri Oct 15 2021 03:25:26 GMT+0000 (GMT),0,,Flash,v3,,,,,,1
Fri Oct 15 2021 03:25:38 GMT+0000 (GMT),0,,Flash,v2,White,,,,,1
Fri Oct 15 2021 03:25:43 GMT+0000 (GMT),0,,Flash,v1,Pink,,,,,1
Fri Oct 15 2021 03:26:45 GMT+0000 (GMT),0,,Flash,v2,Orange,,,,,1
Fri Oct 15 2021 03:42:14 GMT+0000 (GMT),0,,Flash,v2,White,,,,,1
Fri Oct 15 2021 06:39:40 GMT+0000 (GMT),0,,Flash,v3,,,,,,1
Wed Oct 27 2021 03:05:50 GMT+0000 (GMT),0,,Flash,v2,Purple,,,,,1
Wed Oct 27 2021 03:06:06 GMT+0000 (GMT),0,,Flash,v3,Orange,,,,,1
Wed Oct 27 2021 03:18:43 GMT+0000 (GMT),0,,Flash,v2,Black,,,,,1
Wed Oct 27 2021 05:11:06 GMT+0000 (GMT),0,,Flash,v2,Blue,,,,,1
Wed Oct 27 2021 05:11:37 GMT+0000 (GMT),0,4,Redpoint,v3,Blue,,,,,2
Fri Oct 29 2021 01:36:45 GMT+0000 (GMT),0,,Flash,v1,Orange,,,,,1
Fri Oct 29 2021 01:38:22 GMT+0000 (GMT),0,,Flash,v1,Blue,,,,,1
Fri Oct 29 2021 01:42:42 GMT+0000 (GMT),0,,Flash,v2,Yellow,,,,,1
Fri Oct 29 2021 01:59:32 GMT+0000 (GMT),0,,Flash,v2,Yellow,,,,,1
Fri Oct 29 2021 02:21:02 GMT+0000 (GMT),0,,Repeat,v3,Orange,,,,,1
Fri Oct 29 2021 02:38:55 GMT+0000 (GMT),0,,Flash,v3,White,,,,,1
Fri Oct 29 2021 03:35:46 GMT+0000 (GMT),0,,Flash,v3,White,,,,,1
Sun Oct 31 2021 22:45:06 GMT+0000 (GMT),0,,Flash,v2,Yellow,,,,,1
Sun Oct 31 2021 22:45:25 GMT+0000 (GMT),0,,Redpoint,v1,Green,,,,,
Sun Oct 31 2021 22:45:52 GMT+0000 (GMT),0,,Flash,v0,Tan,,,,,1
Sun Oct 31 2021 22:50:53 GMT+0000 (GMT),0,,Flash,v3,Green,,,,,1
Mon Nov 01 2021 00:08:42 GMT+0000 (GMT),0,,Flash,v1,Green,,,,,1
Mon Nov 01 2021 00:13:24 GMT+0000 (GMT),0,,Flash,v2,Purple,,,,,1
Mon Nov 01 2021 00:16:04 GMT+0000 (GMT),0,,Flash,v2,Green,,,,,1
Mon Nov 01 2021 00:44:51 GMT+0000 (GMT),0,,Flash,v2,Black,,,,,1
Mon Nov 01 2021 00:44:58 GMT+0000 (GMT),0,,Flash,v0,Orange,,,,,1
Wed Nov 03 2021 01:21:26 GMT+0000 (GMT),0,,Flash,v1,Black,,,,,1
Wed Nov 03 2021 01:43:21 GMT+0000 (GMT),0,,Redpoint,v2,Purple,,,,,2
Wed Nov 03 2021 02:34:59 GMT+0000 (GMT),0,,Flash,v3,Pink,,,,,1
Wed Nov 03 2021 02:50:46 GMT+0000 (GMT),0,,Flash,v2,Yellow,,,,,1
Wed Nov 03 2021 03:34:23 GMT+0000 (GMT),0,,Flash,v1,Blue,,,,,1
Wed Nov 03 2021 05:37:53 GMT+0000 (GMT),0,,Flash,v2,Orange,,,,,1
Fri Nov 05 2021 01:56:53 GMT+0000 (GMT),0,,Flash,v2,Pink,,Movement Santa Clara,,,1
Fri Nov 05 2021 01:58:46 GMT+0000 (GMT),0,,Flash,v2,Orange,,Movement Santa Clara,,,1
Fri Nov 05 2021 02:03:53 GMT+0000 (GMT),0,,Flash,v3,Purple,,Movement Santa Clara,,,1
Fri Nov 05 2021 02:38:19 GMT+0000 (GMT),0,,Flash,v2,Pink,,Movement Santa Clara,,,1
Fri Nov 05 2021 03:33:30 GMT+0000 (GMT),0,,Redpoint,v3,Green,,Movement Santa Clara,,,5
Fri Nov 05 2021 03:36:07 GMT+0000 (GMT),0,,Repeat,v2,Pink,,Movement Santa Clara,,,1
Fri Nov 05 2021 03:53:17 GMT+0000 (GMT),0,,Repeat,v3,Purple,,Movement Santa Clara,,,1
Fri Nov 05 2021 03:59:51 GMT+0000 (GMT),0,,Flash,v2,Pink,,Movement Santa Clara,,,1
Fri Nov 05 2021 04:24:31 GMT+0000 (GMT),0,,Flash,v1,White,,Movement Santa Clara,,,1
Fri Nov 05 2021 04:35:27 GMT+0000 (GMT),0,,Flash,v2,Yellow,,Movement Santa Clara,,,1
Fri Nov 05 2021 04:38:09 GMT+0000 (GMT),0,,Flash,v1,Blue,,Movement Santa Clara,,,1
Sun Nov 07 2021 21:03:50 GMT+0000 (GMT),0,,Flash,v1,Orange,,Touchstone Pacific Pipe,,,1
Sun Nov 07 2021 21:04:02 GMT+0000 (GMT),0,,Flash,v0,Purple,,Touchstone Pacific Pipe,,,1
Sun Nov 07 2021 21:15:37 GMT+0000 (GMT),0,,Flash,v2,White,,Touchstone Pacific Pipe,,,1
Sun Nov 07 2021 23:06:13 GMT+0000 (GMT),0,,Flash,v2,Pink,,Touchstone Pacific Pipe,,,1
Sun Nov 07 2021 23:09:51 GMT+0000 (GMT),0,,Flash,v2,Purple,,Touchstone Pacific Pipe,,,1
Mon Nov 08 2021 06:44:14 GMT+0000 (GMT),0,4,Redpoint,v3,Green,,Touchstone Pacific Pipe,,,2
Mon Nov 08 2021 06:46:11 GMT+0000 (GMT),0,,Onsight,v3,Purple,,Touchstone Pacific Pipe,,,1
Wed Nov 10 2021 03:17:36 GMT+0000 (GMT),0,,Flash,v2,Black,,,,,1
Wed Nov 10 2021 03:17:47 GMT+0000 (GMT),0,,Flash,v1,White,,,,,1
Wed Nov 10 2021 03:26:36 GMT+0000 (GMT),0,,Flash,v3,Pink,,,,,1
Wed Nov 10 2021 03:38:41 GMT+0000 (GMT),0,,Flash,v2,Yellow,,,,,1
Wed Nov 10 2021 03:49:53 GMT+0000 (GMT),0,,Flash,v3,Pink,,,,,1
Wed Nov 10 2021 04:27:36 GMT+0000 (GMT),0,,Flash,v2,White,,,,,1
Wed Nov 10 2021 04:43:10 GMT+0000 (GMT),0,,Flash,v2,Black,,,,,1
Wed Nov 10 2021 05:31:59 GMT+0000 (GMT),0,,Redpoint,v3,Yellow,,,,,2
Wed Nov 10 2021 05:32:43 GMT+0000 (GMT),0,,Repeat,v3,Pink,,,,,1
Thu Nov 11 2021 09:13:23 GMT+0000 (GMT),1,5,Redpoint,v1,,Poker Chips,,Kraft Boulders,United States,3
Mon Nov 15 2021 15:22:50 GMT+0000 (GMT),0,,Flash,v2,,,,,,1
Tue Nov 16 2021 15:20:30 GMT+0000 (GMT),0,,Flash,v1,Purple,,,,,1
Tue Nov 16 2021 15:20:58 GMT+0000 (GMT),0,,Repeat,v2,Purple,,,,,1
Tue Nov 16 2021 15:21:51 GMT+0000 (GMT),0,,Redpoint,v0,Purple,,,,,
Tue Nov 16 2021 16:51:55 GMT+0000 (GMT),0,,Flash,v3,White,,,,,1
Tue Nov 16 2021 16:57:07 GMT+0000 (GMT),0,,Repeat,v3,White,,,,,1
Tue Nov 16 2021 17:00:48 GMT+0000 (GMT),0,,Flash,v2,Purple,,,,,1
Tue Nov 16 2021 18:06:05 GMT+0000 (GMT),0,,Redpoint,v3,Yellow,,,,,4
Tue Nov 16 2021 18:09:32 GMT+0000 (GMT),0,,Flash,v0,Orange,,,,,1
Fri Nov 19 2021 01:20:02 GMT+0000 (GMT),0,,Flash,v1,Blue,,,,,1
Fri Nov 19 2021 01:20:02 GMT+0000 (GMT),0,,Redpoint,v1,,,,,,
Fri Nov 19 2021 01:20:02 GMT+0000 (GMT),0,,Redpoint,v1,,Taco Bell,,Kilter Board (Original),,
Fri Nov 19 2021 01:20:02 GMT+0000 (GMT),0,,Redpoint,v0,,,,,,
Fri Nov 19 2021 01:20:15 GMT+0000 (GMT),0,,Flash,v0,Pink,,,,,1
Fri Nov 19 2021 01:21:34 GMT+0000 (GMT),0,,Flash,v1,Yellow,,,,,1
Fri Nov 19 2021 03:53:59 GMT+0000 (GMT),0,,Redpoint,v2,White,,,,,
Fri Nov 19 2021 03:57:36 GMT+0000 (GMT),0,,Repeat,v2,Orange,,,,,1
Mon Nov 22 2021 21:07:40 GMT+0000 (GMT),0,,Flash,v0,Pink,,Touchstone Pacific Pipe,,,1
Mon Nov 22 2021 21:07:54 GMT+0000 (GMT),0,,Flash,v1,Black,,Touchstone Pacific Pipe,,,1
Mon Nov 22 2021 21:11:31 GMT+0000 (GMT),0,,Flash,v2,Yellow,,Touchstone Pacific Pipe,,,1
Mon Nov 22 2021 23:23:43 GMT+0000 (GMT),0,,Repeat,v3,Green,,Touchstone Pacific Pipe,,,1
Tue Nov 23 2021 00:14:19 GMT+0000 (GMT),0,,Flash,v2,Black,,Touchstone Pacific Pipe,,,1
Thu Nov 25 2021 00:16:34 GMT+0000 (GMT),0,,Flash,v0,Orange,,,,,1
Thu Nov 25 2021 00:16:44 GMT+0000 (GMT),0,,Redpoint,v1,Blue,,,,,
Thu Nov 25 2021 00:23:26 GMT+0000 (GMT),0,,Flash,v2,Pink,,,,,1
Thu Nov 25 2021 00:45:13 GMT+0000 (GMT),0,,Redpoint,v3,,,,,,2
Fri Nov 26 2021 18:11:03 GMT+0000 (GMT),0,,Flash,v0,Black,,,,,1
Fri Nov 26 2021 18:11:15 GMT+0000 (GMT),0,,Repeat,v1,Yellow,,,,,1
Fri Nov 26 2021 18:18:06 GMT+0000 (GMT),0,,Redpoint,v2,Purple,,,,,2
Fri Nov 26 2021 18:37:42 GMT+0000 (GMT),0,,Redpoint,v3,Yellow,,,,,3
Fri Nov 26 2021 19:03:46 GMT+0000 (GMT),0,,Flash,v2,,,,,,1
Fri Nov 26 2021 19:18:48 GMT+0000 (GMT),0,,Redpoint,v3,Pink,,,,,2
Fri Nov 26 2021 19:55:21 GMT+0000 (GMT),0,,Redpoint,v3,Yellow,,,,,3
Fri Nov 26 2021 20:39:27 GMT+0000 (GMT),0,,Onsight,v2,Black,,,,,1
Fri Nov 26 2021 20:45:05 GMT+0000 (GMT),0,,Flash,v2,White,,,,,1
Fri Nov 26 2021 20:50:44 GMT+0000 (GMT),0,,Onsight,v1,,,,,,1
Fri Nov 26 2021 21:04:39 GMT+0000 (GMT),0,,Flash,v2,White,,,,,1
Sun Nov 28 2021 22:13:03 GMT+0000 (GMT),0,,Flash,v0,Black,,Touchstone Pacific Pipe,,,1
Sun Nov 28 2021 22:13:19 GMT+0000 (GMT),0,,Flash,v1,Purple,,Touchstone Pacific Pipe,,,1
Sun Nov 28 2021 22:17:09 GMT+0000 (GMT),0,,Flash,v1,Yellow,,Touchstone Pacific Pipe,,,1
Sun Nov 28 2021 23:19:14 GMT+0000 (GMT),0,,Redpoint,v3,Black,,Touchstone Pacific Pipe,,,5
Sun Nov 28 2021 23:23:48 GMT+0000 (GMT),0,,Flash,v2,White,,Touchstone Pacific Pipe,,,1
Mon Nov 29 2021 00:36:21 GMT+0000 (GMT),0,,Onsight,v2,Blue,,Touchstone Pacific Pipe,,,1
Mon Nov 29 2021 00:50:47 GMT+0000 (GMT),0,,Flash,v2,Green,,Touchstone Pacific Pipe,,,1
Mon Nov 29 2021 09:11:59 GMT+0000 (GMT),0,,Redpoint,v3,Purple,,Touchstone Pacific Pipe,,,8
Wed Dec 01 2021 02:10:51 GMT+0000 (GMT),0,,Flash,v0,Purple,,,,,1
Wed Dec 01 2021 02:11:13 GMT+0000 (GMT),0,,Redpoint,v2,Orange,,,,,
Wed Dec 01 2021 02:24:44 GMT+0000 (GMT),0,,Flash,v3,Black,,,,,1
Wed Dec 01 2021 03:02:09 GMT+0000 (GMT),0,,Repeat,v3,White,,,,,
Wed Dec 01 2021 03:13:51 GMT+0000 (GMT),0,,Onsight,v2,Yellow,,,,,1
Wed Dec 01 2021 03:25:57 GMT+0000 (GMT),0,,Flash,v3,White,,,,,1
Wed Dec 01 2021 03:47:56 GMT+0000 (GMT),0,,Flash,v3,,,,,,1
Thu Dec 02 2021 15:25:49 GMT+0000 (GMT),0,,Flash,v1,Blue,,Touchstone Pacific Pipe,,,1
Thu Dec 02 2021 15:26:05 GMT+0000 (GMT),0,,Flash,v1,Purple,,Touchstone Pacific Pipe,,,1
Thu Dec 02 2021 15:32:06 GMT+0000 (GMT),0,,Redpoint,v2,Pink,,Touchstone Pacific Pipe,,,3
Thu Dec 02 2021 16:12:32 GMT+0000 (GMT),0,,Flash,v2,Yellow,,Touchstone Pacific Pipe,,,1
Thu Dec 02 2021 16:48:01 GMT+0000 (GMT),0,,Onsight,v1,Purple,,Touchstone Pacific Pipe,,,1
Thu Dec 02 2021 17:03:24 GMT+0000 (GMT),0,,Redpoint,v3,Black,,Touchstone Pacific Pipe,,,2
Thu Dec 02 2021 17:18:51 GMT+0000 (GMT),0,,Repeat,v3,Black,,Touchstone Pacific Pipe,,,1
Sat Dec 04 2021 00:48:10 GMT+0000 (GMT),0,,Flash,v1,Purple,,,,,1
Sat Dec 04 2021 00:48:21 GMT+0000 (GMT),0,,Flash,v1,Orange,,,,,1
Sat Dec 04 2021 00:53:35 GMT+0000 (GMT),0,,Flash,v3,Blue,,,,,1
Sat Dec 04 2021 01:00:27 GMT+0000 (GMT),0,,Repeat,v2,Black,,,,,1
Sat Dec 04 2021 01:05:13 GMT+0000 (GMT),0,,Repeat,v3,White,,,,,1
Sat Dec 04 2021 01:45:02 GMT+0000 (GMT),0,,Repeat,v3,Pink,,,,,1
Sat Dec 04 2021 01:57:12 GMT+0000 (GMT),0,,Repeat,v3,Yellow,,,,,1
Sat Dec 04 2021 02:38:00 GMT+0000 (GMT),0,,Redpoint,v3,Purple,,,,,2
Wed Dec 08 2021 01:00:27 GMT+0000 (GMT),0,,Onsight,v0,Black,,,,,1
Wed Dec 08 2021 01:02:37 GMT+0000 (GMT),0,,Flash,v1,Black,,,,,1
Wed Dec 08 2021 01:07:40 GMT+0000 (GMT),0,,Onsight,v2,White,,,,,1
Wed Dec 08 2021 01:16:03 GMT+0000 (GMT),0,,Redpoint,v4,Orange,,,,,5
Wed Dec 08 2021 01:36:33 GMT+0000 (GMT),0,,Repeat,v3,Pink,,,,,1
Wed Dec 08 2021 02:13:58 GMT+0000 (GMT),0,,Repeat,v3,,,,,,
Wed Dec 08 2021 02:19:09 GMT+0000 (GMT),0,,Repeat,v3,,,,,,
Wed Dec 08 2021 02:55:33 GMT+0000 (GMT),0,,Onsight,v1,Black,,,,,1
Wed Dec 08 2021 03:11:07 GMT+0000 (GMT),0,,Repeat,v3,Pink,,,,,1
Thu Dec 09 2021 15:22:46 GMT+0000 (GMT),0,,Onsight,v0,Black,,Touchstone Pacific Pipe,,,1
Thu Dec 09 2021 15:25:25 GMT+0000 (GMT),0,,Flash,v2,Orange,,Touchstone Pacific Pipe,,,1
Thu Dec 09 2021 15:33:35 GMT+0000 (GMT),0,,Flash,v1,Blue,,Touchstone Pacific Pipe,,,1
Thu Dec 09 2021 15:48:50 GMT+0000 (GMT),0,,Redpoint,v3,Blue,,Touchstone Pacific Pipe,,,2
Thu Dec 09 2021 16:46:42 GMT+0000 (GMT),0,,Redpoint,v4,Pink,,Touchstone Pacific Pipe,,,2
Thu Dec 09 2021 17:29:39 GMT+0000 (GMT),0,,Repeat,v2,White,,Touchstone Pacific Pipe,,,1
Thu Dec 09 2021 17:58:19 GMT+0000 (GMT),0,,Flash,v1,Yellow,,Touchstone Pacific Pipe,,,1
Tue Dec 14 2021 03:18:40 GMT+0000 (GMT),0,,Flash,v0,Black,,Movement Santa Clara,,,1
Tue Dec 14 2021 03:24:50 GMT+0000 (GMT),0,,Repeat,v0,Black,,Movement Santa Clara,,,1
Tue Dec 14 2021 03:25:03 GMT+0000 (GMT),0,,Flash,v2,Blue,,Movement Santa Clara,,,1
Tue Dec 14 2021 03:30:11 GMT+0000 (GMT),0,,Onsight,v1,Blue,,Movement Santa Clara,,,1
Tue Dec 14 2021 03:47:10 GMT+0000 (GMT),0,,Redpoint,v3,Pink,,Movement Santa Clara,,,2
Tue Dec 14 2021 04:27:30 GMT+0000 (GMT),0,,Flash,v2,Yellow,,Movement Santa Clara,,,1
Tue Dec 14 2021 05:00:51 GMT+0000 (GMT),0,,Flash,v2,Blue,,Movement Santa Clara,,,1
Tue Dec 14 2021 05:09:18 GMT+0000 (GMT),0,,Flash,v2,Pink,,Movement Santa Clara,,,1
Tue Dec 14 2021 05:27:10 GMT+0000 (GMT),0,,Flash,v2,Pink,,Movement Santa Clara,,,1
Tue Dec 14 2021 05:59:09 GMT+0000 (GMT),0,,Flash,v2,Black,,Movement Santa Clara,,,1
Fri Dec 17 2021 01:31:45 GMT+0000 (GMT),0,,Flash,v0,White,,,,,1
Fri Dec 17 2021 01:33:27 GMT+0000 (GMT),0,,Repeat,v0,Black,,,,,1
Fri Dec 17 2021 01:35:27 GMT+0000 (GMT),0,,Repeat,v0,Purple,,,,,1
Fri Dec 17 2021 01:36:56 GMT+0000 (GMT),0,,Repeat,v1,Black,,,,,1
Fri Dec 17 2021 01:38:57 GMT+0000 (GMT),0,,Repeat,v1,Orange,,,,,1
Fri Dec 17 2021 01:40:42 GMT+0000 (GMT),0,,Repeat,v1,Purple,,,,,1
Fri Dec 17 2021 01:46:42 GMT+0000 (GMT),0,,Repeat,v2,White,,,,,1
Fri Dec 17 2021 01:50:26 GMT+0000 (GMT),0,,Flash,v2,,,,,,1
Fri Dec 17 2021 02:40:58 GMT+0000 (GMT),0,,Redpoint,v3,,,,,,2
Fri Dec 17 2021 03:08:21 GMT+0000 (GMT),0,,Flash,v3,Black,,,,,1
Fri Dec 17 2021 03:20:52 GMT+0000 (GMT),0,,Flash,v2,Pink,,,,,1
Sat Dec 18 2021 04:00:48 GMT+0000 (GMT),0,,Flash,v0,Pink,,Touchstone Pacific Pipe,,,1
Sat Dec 18 2021 04:02:54 GMT+0000 (GMT),0,,Flash,v1,Blue,,Touchstone Pacific Pipe,,,1
Sat Dec 18 2021 04:10:03 GMT+0000 (GMT),0,,Repeat,v3,White,,Touchstone Pacific Pipe,,,1
Sat Dec 18 2021 05:07:59 GMT+0000 (GMT),0,,Flash,v2,Blue,,Touchstone Pacific Pipe,,,1
Sat Dec 18 2021 05:31:58 GMT+0000 (GMT),0,,Repeat,v2,Yellow,,Touchstone Pacific Pipe,,,1
Sat Dec 18 2021 05:42:15 GMT+0000 (GMT),0,,Flash,v1,Pink,,Touchstone Pacific Pipe,,,1
Tue Dec 21 2021 03:27:33 GMT+0000 (GMT),0,,Flash,v1,Blue,,,,,1
Tue Dec 21 2021 03:27:33 GMT+0000 (GMT),0,,Redpoint,v1,,,,,,
Tue Dec 21 2021 03:27:33 GMT+0000 (GMT),0,,Redpoint,v2,,,,,,
Tue Dec 21 2021 03:27:33 GMT+0000 (GMT),0,,Redpoint,v2,,,,,,
Tue Dec 21 2021 03:27:33 GMT+0000 (GMT),0,,Redpoint,v2,,,,,,
Tue Dec 21 2021 04:50:34 GMT+0000 (GMT),0,,Redpoint,v1,White,,,,,
Tue Dec 21 2021 05:07:17 GMT+0000 (GMT),0,,Flash,v2,Pink,,,,,1
Tue Dec 21 2021 05:12:42 GMT+0000 (GMT),0,,Redpoint,v1,Orange,,,,,
Fri Dec 24 2021 02:20:59 GMT+0000 (GMT),0,,Redpoint,v2,,,,,,
Fri Dec 24 2021 02:20:59 GMT+0000 (GMT),0,,Redpoint,v3,,,,,,
Fri Dec 24 2021 02:20:59 GMT+0000 (GMT),0,,Redpoint,v2,,,,,,
Fri Dec 24 2021 02:21:07 GMT+0000 (GMT),0,,Flash,v0,Black,,Movement Belmont,,,1
Fri Dec 24 2021 02:22:43 GMT+0000 (GMT),0,,Flash,v1,White,,Movement Belmont,,,1
Fri Dec 24 2021 03:17:52 GMT+0000 (GMT),0,,Redpoint,v3,Purple,,Movement Belmont,,,
Fri Dec 24 2021 04:24:51 GMT+0000 (GMT),0,,Flash,v2,White,,Movement Belmont,,,1
Fri Dec 24 2021 04:24:55 GMT+0000 (GMT),0,,Flash,v4,Pink,,Movement Belmont,,,1
Fri Dec 24 2021 04:29:52 GMT+0000 (GMT),0,,Flash,v2,White,,Movement Belmont,,,1
Fri Dec 24 2021 08:25:29 GMT+0000 (GMT),0,,Redpoint,v3,Green,,,,,2
Sun Dec 26 2021 18:06:44 GMT+0000 (GMT),0,,Flash,v1,Purple,,Touchstone Pacific Pipe,,,1
Sun Dec 26 2021 18:08:57 GMT+0000 (GMT),0,,Flash,v1,Purple,,Touchstone Pacific Pipe,,,1
Sun Dec 26 2021 18:12:40 GMT+0000 (GMT),0,,Flash,v2,Yellow,,Touchstone Pacific Pipe,,,1
